ZIP,LAT,LON,POP_TOT
85607,31.48,-109.476,21131.0
29330,35.052,-81.808,7973.0
98011,47.754,-122.201,26380.0
31757,30.87,-83.872,9771.0
10901,41.161,-74.139,21760.0
74804,35.395,-96.927,17932.0
61356,41.389,-89.44,11255.0
70360,29.572,-90.818,21402.0
12586,41.566,-74.179,11527.0
46322,41.549,-87.458,23546.0
15062,40.15,-79.881,8678.0
95827,38.549,-121.328,19599.0
53572,42.961,-89.734,8475.0
41653,37.664,-82.766,12343.0
95965,39.625,-121.553,17778.0
39202,32.311,-90.17,8830.0
85382,33.762,-112.264,37575.0
17315,40.02,-76.868,22770.0
39560,30.375,-89.176,19492.0
15212,40.459,-79.994,31850.0
70037,29.716,-90.035,12130.0
10804,40.947,-73.788,14131.0
75238,32.878,-96.709,31336.0
32055,30.27,-82.624,17234.0
94704,37.871,-122.247,21203.0
21211,39.329,-76.639,16711.0
50211,41.455,-93.705,9007.0
97070,45.311,-122.773,15520.0
80012,39.699,-104.838,43447.0
39203,32.309,-90.201,9593.0
98055,47.461,-122.212,26953.0
41091,38.91,-84.736,11208.0
49329,43.407,-85.495,6865.0
93446,35.634,-120.728,35578.0
94590,38.105,-122.247,37214.0
93631,36.478,-119.521,14077.0
24641,37.126,-81.819,7073.0
50322,41.634,-93.734,32943.0
19032,39.891,-75.279,6898.0
99324,46.045,-118.406,8455.0
32618,29.539,-82.529,6788.0
21202,39.297,-76.607,23572.0
50208,41.712,-93.034,20766.0
32112,29.415,-81.548,6846.0
93550,34.536,-118.083,67213.0
55313,45.174,-93.85,18175.0
90602,33.972,-118.02,26253.0
61341,41.344,-88.687,7509.0
55025,45.256,-93.029,19659.0
95838,38.646,-121.442,34879.0
91016,34.153,-118.0,41050.0
87105,34.994,-106.657,54424.0
92703,33.749,-117.906,70003.0
35010,32.942,-85.923,21732.0
27592,35.56,-78.674,8926.0
90063,34.044,-118.185,55666.0
41005,39.007,-84.76,16064.0
21001,39.503,-76.202,19248.0
66207,38.956,-94.643,13301.0
21032,39.033,-76.607,7965.0
45056,39.494,-84.742,27628.0
33765,27.974,-82.745,13403.0
54455,44.778,-89.664,15716.0
99338,46.176,-119.274,7614.0
59105,45.893,-108.498,23343.0
79007,35.669,-101.427,15808.0
15370,39.874,-80.186,15493.0
10707,40.96,-73.823,9447.0
11725,40.841,-73.281,29412.0
70043,29.954,-89.961,32081.0
36542,30.27,-87.751,7776.0
79403,33.656,-101.793,15265.0
25541,38.453,-82.122,8051.0
77316,30.305,-95.689,9050.0
73045,35.514,-97.151,9328.0
